CustomerID,Recency,Frequency,MonetaryValue,R rank_norm,F rank_norm,M rank_norm,RFM_Score,CustomerID_Segment
12346.0,325,47,-64.68,29.49,46.95,0.88,1899.25,Lost Customers
12347.0,1,222,5633.32,98.33,84.43,90.79,9001.3,Top Customers
12348.0,74,51,2019.4,54.66,49.29,73.16,6322.4,Low Value Customers
12349.0,18,180,4404.54,80.18,80.59,87.61,8438.95,High Value Customers
12350.0,309,17,334.4,30.75,21.03,25.78,2510.05,Lost Customers
12351.0,374,21,300.93,26.39,25.91,22.59,2415.6,Lost Customers
12352.0,35,113,1889.21,69.08,70.36,71.46,7077.3,Mid Value Customers
12353.0,203,24,406.76,39.13,28.9,31.15,3167.2,Lost Customers
12354.0,231,58,1079.4,37.04,52.95,57.35,5298.35,Lost Customers
12355.0,213,35,947.61,38.24,38.64,53.35,4667.05,Lost Customers
12356.0,22,142,6373.68,77.15,75.48,92.19,8492.1,High Value Customers
12357.0,32,296,18287.66,70.33,89.21,98.3,9137.75,Top Customers
12358.0,1,77,3887.07,98.33,60.7,85.66,8007.25,High Value Customers
12359.0,7,372,8714.89,90.93,92.33,94.75,9345.1,Top Customers
12360.0,51,218,4212.89,62.6,84.1,86.81,8236.55,High Value Customers
12361.0,286,29,511.25,32.18,33.63,36.64,3506.8,Lost Customers
12362.0,2,275,5284.58,96.7,88.19,90.05,9048.95,Top Customers
12363.0,109,23,552.0,48.69,27.91,38.64,3692.85,Lost Customers
12364.0,7,85,1313.1,90.93,63.22,62.92,6721.15,Low Value Customers
12365.0,290,23,320.69,31.84,27.91,24.57,2666.25,Lost Customers
12366.0,633,3,500.24,4.71,4.01,36.1,2176.45,Lost Customers
12367.0,3,11,168.9,94.77,13.69,12.45,2517.0,Lost Customers
12368.0,627,18,917.7,5.06,22.26,52.34,3622.4,Lost Customers
12369.0,412,93,1791.15,20.3,65.7,70.26,6139.8,Low Value Customers
12370.0,50,201,4320.31,63.17,82.64,87.21,8223.3,High Value Customers
12371.0,44,167,4067.38,65.31,79.09,86.22,8094.45,High Value Customers
12372.0,71,52,1298.04,55.88,49.87,62.57,5775.65,Lost Customers
12373.0,310,51,1127.65,30.64,49.29,58.6,5161.3,Lost Customers
12374.0,24,83,2989.22,75.49,62.53,81.0,7463.25,Mid Value Customers
12375.0,2,18,455.42,96.7,22.26,34.16,3997.1,Lost Customers
12376.0,389,13,503.15,23.64,16.36,36.2,2836.4,Lost Customers
12377.0,314,152,3426.32,30.25,77.09,83.56,7362.25,Mid Value Customers
12378.0,129,301,5416.32,46.47,89.5,90.26,8346.35,High Value Customers
12379.0,81,82,1618.27,52.85,62.17,67.82,6387.95,Low Value Customers
12380.0,21,283,7888.0,78.17,88.6,93.96,8998.35,High Value Customers
12381.0,4,91,1803.96,93.18,65.14,70.5,7229.4,Mid Value Customers
12382.0,681,1,-18.38,2.4,1.28,1.07,133.25,Lost Customers
12383.0,184,100,1839.31,40.94,67.6,71.0,6547.1,Low Value Customers
12384.0,28,30,566.16,73.28,34.59,39.21,4293.45,Lost Customers
12385.0,378,66,1923.4,25.77,56.26,71.98,6033.25,Low Value Customers
12386.0,337,10,660.8,28.89,12.4,43.27,3185.2,Lost Customers
12387.0,414,9,143.94,19.91,11.22,9.81,1174.8,Lost Customers
12388.0,15,146,3901.11,83.2,76.3,85.7,8250.5,High Value Customers
12389.0,402,49,1433.33,21.6,48.15,65.01,5344.05,Lost Customers
12390.0,79,32,549.84,53.36,36.17,38.54,4005.2,Lost Customers
12391.0,21,273,2747.82,78.17,88.07,79.28,8175.05,High Value Customers
12392.0,590,7,234.75,7.37,8.78,18.07,1367.8,Lost Customers
12393.0,71,112,2376.75,55.88,70.15,76.56,7153.5,Mid Value Customers
12394.0,63,27,1272.48,58.45,31.66,61.98,5235.45,Lost Customers
12395.0,15,245,5046.92,83.2,86.22,89.43,8753.25,High Value Customers
12396.0,673,65,931.43,2.91,55.92,52.81,4625.8,Lost Customers
12397.0,35,126,2409.9,69.08,72.64,76.89,7444.35,Mid Value Customers
12398.0,45,85,1635.66,64.82,63.22,68.11,6614.95,Low Value Customers
12399.0,118,110,1962.3,47.7,69.72,72.39,6788.55,Low Value Customers
12400.0,413,11,205.25,20.13,13.69,15.44,1561.85,Lost Customers
12401.0,302,5,84.3,31.14,6.13,4.49,897.95,Lost Customers
12402.0,322,71,1244.15,29.71,58.31,61.14,5557.65,Lost Customers
12403.0,49,10,1001.36,63.78,12.4,54.83,4344.35,Lost Customers
12404.0,681,1,63.24,2.4,1.28,3.38,260.3,Lost Customers
12405.0,148,54,1710.39,44.64,51.2,69.25,6014.35,Low Value Customers
12406.0,21,170,6072.21,78.17,79.48,91.55,8592.2,High Value Customers
12407.0,49,77,1708.12,63.78,60.7,69.16,6581.5,Low Value Customers
12408.0,32,170,4279.64,70.33,79.48,86.97,8222.7,High Value Customers
12409.0,78,272,23090.47,53.65,88.0,98.74,8875.45,High Value Customers
12410.0,300,42,1001.46,31.36,43.63,54.85,4796.05,Lost Customers
12411.0,409,22,346.9,20.72,26.89,26.84,2593.7,Lost Customers
12412.0,74,131,2581.03,54.66,73.64,78.21,7330.65,Mid Value Customers
12413.0,66,53,935.5,57.11,50.57,52.96,5286.55,Lost Customers
12414.0,216,37,692.41,38.03,40.06,44.56,4223.05,Lost Customers
12415.0,23,990,143269.29,76.28,98.69,99.88,9598.3,Top Customers
12416.0,656,11,202.56,3.68,13.69,15.18,1300.8,Lost Customers
12417.0,2,380,6708.21,96.7,92.65,92.85,9336.75,Top Customers
12418.0,112,103,2016.95,48.44,68.24,73.11,6794.85,Low Value Customers
12419.0,385,25,503.01,24.35,29.79,36.18,3248.85,Lost Customers
12420.0,63,29,600.39,58.45,33.63,40.63,4120.3,Lost Customers
12421.0,15,67,1092.83,83.2,56.61,57.66,6117.6,Low Value Customers
12422.0,95,176,4119.35,50.48,79.98,86.47,7912.45,Mid Value Customers
12423.0,0,166,2612.19,100.0,78.92,78.51,8185.65,High Value Customers
12424.0,162,97,3289.78,43.15,66.86,82.85,7209.8,Mid Value Customers
12425.0,77,95,1680.81,54.02,66.26,68.75,6579.35,Low Value Customers
12426.0,194,82,1311.41,39.93,62.17,62.89,5923.0,Lost Customers
12427.0,11,35,1011.87,85.58,38.64,55.3,5484.4,Lost Customers
12428.0,25,300,7877.2,74.7,89.41,93.92,8968.4,High Value Customers
12429.0,8,154,7435.51,89.37,77.34,93.52,8804.35,High Value Customers
12430.0,42,11,256.4,66.3,13.69,19.81,2494.75,Lost Customers
12431.0,35,398,10719.41,69.08,93.18,96.18,9121.5,Top Customers
12432.0,42,108,5059.32,66.3,69.32,89.52,7997.7,Mid Value Customers
12433.0,0,560,20428.86,100.0,95.99,98.47,9795.55,Top Customers
12434.0,84,74,1062.48,52.42,59.61,56.88,5703.0,Lost Customers
12435.0,79,112,13925.93,53.36,70.15,97.48,8266.3,High Value Customers
12436.0,99,16,509.01,49.97,19.82,36.52,3352.75,Lost Customers
12437.0,1,583,12394.85,98.33,96.25,96.87,9690.3,Top Customers
12438.0,13,98,2906.85,84.69,67.15,80.43,7708.5,Mid Value Customers
12439.0,682,74,1104.48,2.2,59.61,57.88,5004.7,Lost Customers
12440.0,456,35,768.15,15.13,38.64,47.02,3972.25,Lost Customers
12441.0,366,11,347.1,27.56,13.69,26.88,2302.5,Lost Customers
12442.0,2,12,172.06,96.7,15.05,12.71,2601.05,Lost Customers
12443.0,731,21,485.31,0.66,25.91,35.36,2732.0,Lost Customers
12444.0,20,177,5005.46,78.99,80.12,89.26,8497.75,High Value Customers
12445.0,21,25,426.48,78.17,29.79,32.4,3848.25,Lost Customers
12446.0,57,58,1002.31,60.62,52.95,54.93,5518.95,Lost Customers
12447.0,242,26,476.49,35.87,30.7,35.02,3385.15,Lost Customers
12448.0,43,22,449.45,65.83,26.89,33.74,3649.85,Lost Customers
12449.0,21,201,4835.89,78.17,82.64,88.88,8540.15,High Value Customers
12450.0,155,40,666.95,43.82,42.17,43.59,4319.85,Lost Customers
12451.0,10,514,12546.53,86.63,95.47,96.95,9495.8,Top Customers
12452.0,16,23,428.57,82.19,27.91,32.62,3864.25,Lost Customers
12453.0,133,43,707.09,46.11,44.3,44.98,4494.55,Lost Customers
12454.0,52,72,4292.71,62.09,58.71,87.02,7478.75,Mid Value Customers
12455.0,72,227,5879.95,55.48,84.7,91.27,8393.05,High Value Customers
12456.0,43,129,3153.89,65.83,73.32,82.04,7699.25,Mid Value Customers
12457.0,57,93,2472.31,60.62,65.7,77.42,7138.4,Mid Value Customers
12458.0,70,84,1777.49,56.34,62.88,70.09,6586.45,Low Value Customers
12459.0,604,23,454.36,6.38,27.91,34.08,2807.4,Lost Customers
12460.0,455,18,326.65,15.24,22.26,25.11,2277.45,Lost Customers
12461.0,93,35,826.88,50.86,38.64,49.24,4630.3,Lost Customers
12462.0,1,72,1124.01,98.33,58.71,58.5,6453.75,Low Value Customers
12463.0,45,88,1303.63,64.82,64.28,62.72,6350.3,Low Value Customers
12464.0,9,29,1212.05,87.86,33.63,60.48,5653.2,Lost Customers
12465.0,7,51,733.89,90.93,49.29,46.05,5375.4,Lost Customers
12466.0,681,1,56.73,2.4,1.28,3.08,243.8,Lost Customers
12467.0,385,18,0.0,24.35,22.26,1.57,1119.4,Lost Customers
12468.0,142,163,3624.55,45.23,78.56,84.48,7681.65,Mid Value Customers
12469.0,522,76,3070.54,11.1,60.33,81.52,6460.0,Low Value Customers
12470.0,689,23,211.95,1.93,27.91,16.04,1748.45,Lost Customers
12471.0,1,1295,37948.61,98.33,99.36,99.33,9918.9,Top Customers
12472.0,30,965,16956.69,71.71,98.64,98.05,9427.6,Top Customers
12473.0,28,178,2848.23,73.28,80.27,79.91,7902.35,Mid Value Customers
12474.0,16,761,11966.45,82.19,97.63,96.67,9478.6,Top Customers
12475.0,53,61,1149.64,61.67,54.33,59.12,5806.55,Lost Customers
12476.0,0,562,13715.62,100.0,96.01,97.39,9736.75,Top Customers
12477.0,22,572,20173.64,77.15,96.15,98.45,9456.5,Top Customers
12478.0,3,36,680.99,94.77,39.46,44.06,5028.65,Lost Customers
12479.0,3,35,477.3,94.77,38.64,35.09,4510.7,Lost Customers
12480.0,27,245,5435.1,73.91,86.22,90.31,8662.3,High Value Customers
12481.0,22,384,12217.03,77.15,92.81,96.79,9265.0,Top Customers
12482.0,449,207,21893.53,15.62,83.31,98.64,8158.8,High Value Customers
12483.0,16,147,4846.87,82.19,76.49,88.91,8417.6,High Value Customers
12484.0,32,480,6303.85,70.33,94.89,91.96,8959.45,High Value Customers
12485.0,528,34,708.1,10.88,37.73,45.04,3772.3,Lost Customers
12486.0,431,49,1037.28,17.2,48.15,56.08,4786.9,Lost Customers
12487.0,730,3,259.8,0.8,4.01,20.11,1238.35,Lost Customers
12488.0,9,55,1298.66,87.86,51.64,62.62,6311.2,Low Value Customers
12489.0,335,15,334.93,29.0,18.66,25.82,2414.9,Lost Customers
12490.0,4,463,9818.64,93.18,94.52,95.69,9496.25,Top Customers
12491.0,38,26,460.4,67.8,30.7,34.32,3825.6,Lost Customers
12492.0,62,42,715.21,58.96,43.63,45.34,4687.0,Lost Customers
12493.0,165,23,416.79,42.85,27.91,31.74,3225.75,Lost Customers
12494.0,9,119,1743.52,87.86,71.42,69.74,7296.2,Mid Value Customers
12495.0,634,19,323.4,4.66,23.5,24.89,2143.85,Lost Customers
12496.0,619,10,54.09,5.65,12.4,2.96,619.55,Lost Customers
12497.0,81,58,6211.75,52.85,52.95,91.75,7427.5,Mid Value Customers
12498.0,20,23,403.7,78.99,27.91,30.97,3725.5,Lost Customers
12499.0,559,27,393.72,9.07,31.66,30.29,2751.8,Lost Customers
12500.0,22,156,5872.31,77.15,77.63,91.23,8503.8,High Value Customers
12501.0,314,160,2089.68,30.25,78.18,73.91,6864.2,Low Value Customers
12502.0,95,147,3723.87,50.48,76.49,84.9,7721.4,Mid Value Customers
12503.0,337,3,0.0,28.89,4.01,1.57,640.0,Lost Customers
12504.0,17,26,411.0,81.17,30.7,31.4,3865.55,Lost Customers
12505.0,300,47,908.0,31.36,46.95,51.95,4736.15,Lost Customers
12506.0,232,23,73.5,36.93,27.91,3.81,1600.8,Lost Customers
12507.0,133,51,1797.31,46.11,49.29,70.38,6041.25,Low Value Customers
12508.0,25,68,398.27,74.7,57.05,30.58,4513.9,Lost Customers
12509.0,283,7,176.5,32.29,8.78,13.07,1466.6,Lost Customers
12510.0,142,154,3689.33,45.23,77.34,84.72,7658.25,Mid Value Customers
12511.0,414,194,3065.77,19.91,82.06,81.49,7242.4,Mid Value Customers
12512.0,65,31,138.03,57.42,35.44,9.26,2433.8,Lost Customers
12513.0,84,36,586.79,52.42,39.46,40.07,4173.95,Lost Customers
12514.0,266,84,1597.76,33.74,62.88,67.45,6102.25,Low Value Customers
12515.0,352,16,383.7,28.76,19.82,29.49,2647.95,Lost Customers
12516.0,77,74,2648.62,54.02,59.61,78.8,6932.6,Low Value Customers
12517.0,27,281,2464.89,73.91,88.48,77.3,8014.55,High Value Customers
12518.0,0,124,2056.89,100.0,72.3,73.59,7716.45,Mid Value Customers
12519.0,63,41,695.19,58.45,42.86,44.58,4614.45,Lost Customers
12520.0,78,155,2582.51,53.65,77.51,78.22,7432.15,Mid Value Customers
12521.0,142,38,599.68,45.23,40.81,40.54,4132.45,Lost Customers
12522.0,38,12,192.72,67.8,15.05,14.51,2266.55,Lost Customers
12523.0,1,264,4220.85,98.33,87.45,86.86,8875.75,High Value Customers
12524.0,8,242,11091.36,89.37,85.99,96.25,9214.0,Top Customers
12525.0,490,77,835.18,12.92,60.7,49.55,4740.05,Lost Customers
12526.0,0,71,1316.66,100.0,58.31,63.06,6717.6,Low Value Customers
12527.0,81,32,735.51,52.85,36.17,46.11,4413.9,Lost Customers
12528.0,8,95,1922.28,89.37,66.26,71.95,7285.6,Mid Value Customers
12529.0,522,23,311.78,11.1,27.91,23.93,2319.95,Lost Customers
12530.0,59,162,3689.86,59.72,78.37,84.74,7907.6,Mid Value Customers
12531.0,14,133,1899.05,84.13,73.96,71.64,7420.95,Mid Value Customers
12532.0,29,16,349.83,72.46,19.82,27.2,3177.5,Lost Customers
12533.0,618,90,1149.99,5.75,64.84,59.16,5285.25,Lost Customers
12534.0,130,63,1089.18,46.36,55.18,57.54,5515.5,Lost Customers
12535.0,91,34,716.35,51.18,37.73,45.41,4397.15,Lost Customers
12536.0,7,273,4106.82,90.93,88.07,86.42,8759.15,High Value Customers
12537.0,408,43,732.94,20.88,44.3,45.98,4171.1,Lost Customers
12538.0,28,34,640.45,73.28,37.73,42.46,4566.4,Lost Customers
12539.0,21,505,9498.9,78.17,95.34,95.34,9276.45,Top Customers
12540.0,19,775,22107.29,79.5,97.76,98.7,9553.8,Top Customers
12541.0,29,52,981.18,72.46,49.87,54.31,5570.05,Lost Customers
12542.0,483,45,423.38,13.24,45.72,32.31,3347.25,Lost Customers
12543.0,447,43,980.25,15.75,44.3,54.29,4551.2,Lost Customers
12544.0,29,20,355.7,72.46,24.71,27.65,3348.95,Lost Customers
12545.0,74,50,1000.39,54.66,48.75,54.8,5296.4,Lost Customers
12546.0,46,70,1141.5,64.47,57.96,58.95,5948.1,Lost Customers
12547.0,197,21,383.58,39.65,25.91,29.45,2991.8,Lost Customers
12548.0,165,5,95.2,42.85,6.13,5.07,1105.5,Lost Customers
12549.0,575,49,1575.68,8.23,48.15,67.18,5262.85,Lost Customers
12550.0,78,57,964.83,53.65,52.44,53.84,5339.15,Lost Customers
12551.0,357,10,168.0,28.51,12.4,12.35,1478.9,Lost Customers
12552.0,38,20,437.82,67.8,24.71,33.12,3579.9,Lost Customers
12553.0,7,244,4548.82,90.93,86.12,88.22,8799.65,High Value Customers
12554.0,448,26,468.5,15.69,30.7,34.65,3062.1,Lost Customers
12555.0,681,1,129.23,2.4,1.28,8.3,530.9,Lost Customers
12556.0,49,119,603.71,63.78,71.42,40.86,5346.6,Lost Customers
12557.0,15,53,18716.14,83.2,50.57,98.33,8173.25,High Value Customers
12558.0,1,22,0.0,98.33,26.89,1.77,2379.0,Lost Customers
12559.0,310,22,536.21,30.64,26.89,37.82,3346.4,Lost Customers
12560.0,4,111,2101.39,93.18,69.94,74.12,7572.5,Mid Value Customers
12561.0,302,16,238.85,31.14,19.82,18.38,2072.6,Lost Customers
12562.0,7,207,4966.92,90.93,83.31,89.2,8769.25,High Value Customers
12563.0,408,13,249.24,20.88,16.36,19.29,1864.95,Lost Customers
12564.0,260,21,456.9,34.45,25.91,34.21,3175.6,Lost Customers
12565.0,281,10,131.17,32.5,12.4,8.52,1328.1,Lost Customers
12566.0,72,20,346.7,55.48,24.71,26.83,3049.15,Lost Customers
12567.0,22,575,13393.82,77.15,96.2,97.31,9395.3,Top Customers
12568.0,644,5,70.0,4.3,6.13,3.6,446.4,Lost Customers
12569.0,1,191,4064.99,98.33,81.77,86.2,8669.05,High Value Customers
